Provinsi,Pengeluaran_2020,Pengeluaran_2021,Pengeluaran_2022,Pengeluaran_2023,Pulau
Aceh,1056,1082,1120,1165,Sumatera
Sumatera Utara,1189,1220,1264,1312,Sumatera
Sumatera Barat,1167,1199,1242,1290,Sumatera
Riau,1387,1418,1469,1525,Sumatera
Jambi,1091,1117,1158,1203,Sumatera
Sumatera Selatan,978,1002,1039,1079,Sumatera
Bengkulu,1003,1031,1069,1111,Sumatera
Lampung,869,892,927,964,Sumatera
Kepulauan Bangka Belitung,1399,1440,1494,1553,Sumatera
Kepulauan Riau,1909,1964,2038,2118,Sumatera
DKI Jakarta,2621,2713,2819,2931,Jawa
Jawa Barat,1282,1315,1365,1419,Jawa
Jawa Tengah,1051,1079,1121,1166,Jawa
DI Yogyakarta,1362,1398,1452,1509,Jawa
Jawa Timur,1181,1213,1261,1313,Jawa
Banten,1461,1503,1561,1623,Jawa
Bali,1487,1532,1591,1655,Bali-Nusa
Nusa Tenggara Barat,869,895,930,968,Bali-Nusa
Nusa Tenggara Timur,726,742,771,802,Bali-Nusa
Kalimantan Barat,1037,1065,1107,1151,Kalimantan
Kalimantan Tengah,1266,1302,1351,1405,Kalimantan
Kalimantan Selatan,1188,1221,1269,1320,Kalimantan
Kalimantan Timur,1727,1786,1854,1928,Kalimantan
Kalimantan Utara,1497,1542,1601,1664,Kalimantan
Sulawesi Utara,1325,1364,1417,1474,Sulawesi
Sulawesi Tengah,1011,1038,1079,1122,Sulawesi
Sulawesi Selatan,1137,1167,1212,1261,Sulawesi
Sulawesi Tenggara,1006,1033,1073,1116,Sulawesi
Gorontalo,876,898,933,970,Sulawesi
Sulawesi Barat,872,896,931,968,Sulawesi
Maluku,1031,1059,1100,1144,Maluku-Papua
Maluku Utara,1012,1040,1082,1125,Maluku-Papua
Papua Barat,1357,1398,1452,1510,Maluku-Papua
Papua,1056,1082,1122,1166,Maluku-Papua
